type,timestamp,positions
CONTROL,3552531.463035848,"[-0.081, -0.12, 0.479, 0.078, 0.123, 0.524]"
CONTROL,3572600.6970508024,"[-0.084, -0.117, 0.482, 0.081, 0.12, 0.521]"
CONTROL,3592670.9610503167,"[-0.087, -0.114, 0.485, 0.084, 0.117, 0.518]"
CONTROL,3612745.584046934,"[-0.09, -0.111, 0.488, 0.087, 0.114, 0.515]"
CONTROL,3632817.4380469136,"[-0.093, -0.108, 0.491, 0.09, 0.111, 0.512]"
CONTROL,3652889.221033547,"[-0.096, -0.105, 0.494, 0.093, 0.108, 0.509]"
CONTROL,3672958.995040972,"[-0.099, -0.102, 0.497, 0.096, 0.105, 0.506]"
CONTROL,3693029.7590442933,"[-0.102, -0.099, 0.5, 0.099, 0.102, 0.503]"
CONTROL,3713099.212036468,"[-0.105, -0.096, 0.503, 0.102, 0.099, 0.5]"
CONTROL,3733113.046037033,"[-0.108, -0.093, 0.506, 0.105, 0.096, 0.497]"
CONTROL,3753181.880048942,"[-0.111, -0.09, 0.509, 0.108, 0.093, 0.494]"
CONTROL,3773250.2830331214,"[-0.114, -0.087, 0.512, 0.111, 0.09, 0.491]"
CONTROL,3793322.9070040397,"[-0.117, -0.084, 0.515, 0.114, 0.087, 0.488]"
CONTROL,3813395.83004592,"[-0.12, -0.081, 0.518, 0.117, 0.084, 0.485]"
CONTROL,3833474.4939929806,"[-0.123, -0.078, 0.521, 0.12, 0.081, 0.482]"
CONTROL,3853547.286998946,"[-0.126, -0.075, 0.524, 0.123, 0.078, 0.479]"
CONTROL,3873622.0209975727,"[-0.129, -0.072, 0.527, 0.126, 0.075, 0.476]"
CONTROL,3893694.8950286023,"[-0.132, -0.069, 0.53, 0.129, 0.072, 0.473]"
CONTROL,3913773.7980345264,"[-0.135, -0.066, 0.533, 0.132, 0.069, 0.47]"
CONTROL,3933847.011998296,"[-0.138, -0.063, 0.536, 0.135, 0.066, 0.467]"
CONTROL,3953924.2860046215,"[-0.141, -0.06, 0.539, 0.138, 0.063, 0.464]"
CONTROL,3973996.729007922,"[-0.144, -0.057, 0.542, 0.141, 0.06, 0.461]"
CONTROL,3994068.96304572,"[-0.147, -0.054, 0.545, 0.144, 0.057, 0.458]"
CONTROL,4014100.0660369173,"[-0.15, -0.051, 0.548, 0.147, 0.054, 0.455]"
CONTROL,4034187.0600241236,"[-0.147, -0.048, 0.551, 0.15, 0.051, 0.452]"
CONTROL,4054262.852994725,"[-0.144, -0.045, 0.554, 0.147, 0.048, 0.449]"
CONTROL,4074336.5670205094,"[-0.141, -0.042, 0.557, 0.144, 0.045, 0.446]"
CONTROL,4094412.0610365644,"[-0.138, -0.039, 0.56, 0.141, 0.042, 0.443]"
CONTROL,4114477.354043629,"[-0.135, -0.036, 0.563, 0.138, 0.039, 0.44]"
CONTROL,4134550.7280202582,"[-0.132, -0.033, 0.566, 0.135, 0.036, 0.437]"
CONTROL,4154625.1120162196,"[-0.129, -0.03, 0.569, 0.132, 0.033, 0.434]"
CONTROL,4174703.0550031923,"[-0.126, -0.027, 0.572, 0.129, 0.03, 0.431]"
CONTROL,4194769.479043316,"[-0.123, -0.024, 0.575, 0.126, 0.027, 0.428]"
CONTROL,4214841.531997081,"[-0.12, -0.021, 0.578, 0.123, 0.024, 0.425]"
CONTROL,4234912.3660242185,"[-0.117, -0.018, 0.581, 0.12, 0.021, 0.422]"
CONTROL,4254983.99900971,"[-0.114, -0.015, 0.584, 0.117, 0.018, 0.419]"
CONTROL,4275057.993014343,"[-0.111, -0.012, 0.587, 0.114, 0.015, 0.416]"
CONTROL,4295100.287010428,"[-0.108, -0.009, 0.59, 0.111, 0.012, 0.413]"
CONTROL,4315174.490038771,"[-0.105, -0.006, 0.593, 0.108, 0.009, 0.41]"
CONTROL,4335252.334014513,"[-0.102, -0.003, 0.596, 0.105, 0.006, 0.407]"
CONTROL,4355323.1180412695,"[-0.099, 0.0, 0.599, 0.102, 0.003, 0.404]"
CONTROL,4375397.931027692,"[-0.096, 0.003, 0.602, 0.099, 0.0, 0.401]"
CONTROL,4395477.654994465,"[-0.093, 0.006, 0.605, 0.096, -0.003, 0.398]"
CONTROL,4415558.16802429,"[-0.09, 0.009, 0.608, 0.093, -0.006, 0.395]"
CONTROL,4435629.65199817,"[-0.087, 0.012, 0.611, 0.09, -0.009, 0.392]"
CONTROL,4455704.585008789,"[-0.084, 0.015, 0.614, 0.087, -0.012, 0.389]"
CONTROL,4475778.689025901,"[-0.081, 0.018, 0.617, 0.084, -0.015, 0.386]"
CONTROL,4495847.863028757,"[-0.078, 0.021, 0.62, 0.081, -0.018, 0.383]"
CONTROL,4515921.596030239,"[-0.075, 0.024, 0.623, 0.078, -0.021, 0.38]"
CONTROL,4536002.9300209135,"[-0.072, 0.027, 0.626, 0.075, -0.024, 0.377]"
CONTROL,4556078.03404564,"[-0.069, 0.03, 0.629, 0.072, -0.027, 0.374]"
CONTROL,4576102.3870436475,"[-0.066, 0.033, 0.632, 0.069, -0.03, 0.371]"
CONTROL,4596176.581049804,"[-0.063, 0.036, 0.635, 0.066, -0.033, 0.368]"
CONTROL,4616256.67399494,"[-0.06, 0.039, 0.638, 0.063, -0.036, 0.365]"
CONTROL,4636330.94803663,"[-0.057, 0.042, 0.641, 0.06, -0.039, 0.362]"
CONTROL,4656407.851027325,"[-0.054, 0.045, 0.644, 0.057, -0.042, 0.359]"
CONTROL,4676486.2349955365,"[-0.051, 0.048, 0.647, 0.054, -0.045, 0.356]"
CONTROL,4696562.158002052,"[-0.048, 0.051, 0.65, 0.051, -0.048, 0.353]"
CONTROL,4716640.082013328,"[-0.045, 0.054, 0.647, 0.048, -0.051, 0.35]"
CONTROL,4736720.485030673,"[-0.042, 0.057, 0.644, 0.045, -0.054, 0.353]"
CONTROL,4756792.758998927,"[-0.039, 0.06, 0.641, 0.042, -0.057, 0.356]"
